,a1,a2,a3,a5,a6,a7,y
1,49,29,48,56,24,35,0
2,7,4,48,54,35,44,0
3,56,4,48,49,37,46,0
4,59,49,48,52,45,36,0
5,23,32,48,55,25,35,0
6,67,39,48,36,38,46,0
7,29,28,48,44,23,34,0
8,21,34,48,51,28,39,0
9,2,44,48,46,51,57,0
10,42,4,48,56,18,3,0
11,42,24,48,57,27,37,0
12,25,48,48,44,17,29,0
13,39,32,48,46,24,35,0
14,51,5,48,46,32,35,0
15,22,43,48,48,16,28,0
16,25,4,48,46,44,52,0
17,34,45,48,38,24,35,0
18,44,27,48,55,52,58,0
19,23,4,48,39,28,38,0
20,41,57,48,39,21,32,0
21,4,45,48,38,22,0,0
22,31,23,48,73,5,14,0
23,51,54,48,41,34,43,0
24,3,16,48,56,11,23,0
25,36,39,48,48,22,23,0
26,29,37,48,48,44,52,0
27,25,4,48,47,33,42,0
28,21,51,48,5,32,41,0
29,43,37,48,53,35,44,0
30,43,39,48,47,31,41,0
31,53,38,48,44,26,36,0
32,34,33,48,38,35,44,0
33,56,51,48,34,37,46,0
34,4,29,48,42,35,44,0
35,24,35,48,31,19,31,0
36,36,54,48,41,38,46,0
37,29,52,48,42,29,39,0
38,65,47,48,59,3,4,0
39,32,42,48,35,28,38,0
40,38,46,48,48,22,29,0
41,33,45,48,52,32,41,0
42,3,37,48,59,41,49,0
43,4,5,48,45,39,47,0
44,28,38,48,5,33,42,0
45,61,45,48,48,35,41,0
46,17,38,48,45,42,5,0
47,44,35,48,55,55,61,0
48,43,4,48,39,28,39,0
49,42,35,48,58,15,27,0
50,23,33,48,43,33,43,0
51,37,52,48,42,42,36,0
52,29,3,48,45,3,17,0
53,22,36,48,35,39,47,0
54,23,58,48,37,53,59,0
55,47,47,48,22,16,26,0
56,54,47,48,28,33,42,0
57,51,37,48,35,36,45,0
58,4,35,48,45,33,42,0
59,44,34,48,3,33,43,0
60,42,38,48,54,34,43,0
61,44,56,48,5,46,54,0
62,52,36,48,41,28,38,0
63,36,41,48,48,47,54,0
64,18,3,48,46,24,35,0
65,47,29,48,51,33,43,0
66,24,43,48,54,52,59,0
67,25,37,48,41,33,42,0
68,52,57,48,42,47,54,0
69,25,37,48,43,26,36,0
70,35,48,48,56,4,48,0
71,26,26,48,34,25,35,0
72,44,51,48,47,26,36,0
73,37,5,48,42,36,45,0
74,44,42,48,42,25,2,0
75,24,43,48,37,28,38,0
76,42,3,48,48,26,36,0
77,48,42,48,45,25,35,0
78,41,48,48,51,44,51,0
79,44,28,48,43,27,37,0
80,29,41,48,48,38,46,0
81,34,28,48,41,35,44,0
82,41,43,48,45,31,41,0
83,29,47,48,41,23,34,0
84,34,55,48,58,31,41,0
85,36,56,48,43,45,53,0
86,4,46,48,52,49,56,0
87,5,49,48,49,46,53,0
88,52,44,48,37,36,42,0
89,5,51,48,27,23,34,0
90,53,42,48,16,29,39,0
91,34,46,48,52,35,44,0
92,4,42,48,37,27,27,0
93,41,43,48,5,24,25,0
94,3,45,48,36,21,32,0
95,31,47,48,29,28,39,0
96,64,76,48,45,35,38,0
97,35,37,48,3,34,43,0
98,57,54,48,37,28,33,0
99,65,55,48,34,37,28,0
100,51,46,48,58,31,41,0
